speaker,language,sex,duration,age,language_long,language_family,speech_rate,info_rate
CAT_M1(Xa),CAT,M,14.98,28,Catalan,Indo-European,7.81041388518024,42.879172229639515
CAT_M1(Xa),CAT,M,15.37,28,Catalan,Indo-European,7.742355237475603,42.50553025374106
CAT_M1(Xa),CAT,M,17.44,28,Catalan,Indo-European,7.282110091743118,39.97878440366972
CAT_M1(Xa),CAT,M,11.53,28,Catalan,Indo-European,8.065915004336514,44.281873373807464
CAT_M2(Al),CAT,M,11.46,29,Catalan,Indo-European,7.678883071553228,42.15706806282722
CAT_M2(Al),CAT,M,16.7,29,Catalan,Indo-European,7.065868263473054,38.791616766467065
CAT_M2(Al),CAT,M,19.12,29,Catalan,Indo-European,7.2698744769874475,39.91161087866109
CAT_M2(Al),CAT,M,19.65,29,Catalan,Indo-European,7.2264631043257,39.673282442748096
CAT_M2(Al),CAT,M,13.55,29,Catalan,Indo-European,7.306273062730627,40.111439114391146
CAT_M2(Al),CAT,M,16.93,29,Catalan,Indo-European,7.737743650324867,42.48021264028352
CAT_M2(Al),CAT,M,10.47,29,Catalan,Indo-European,7.736389684813753,42.47277936962751
CAT_M2(Al),CAT,M,16.8,29,Catalan,Indo-European,7.261904761904762,39.86785714285715
CAT_M2(Al),CAT,M,17.07,29,Catalan,Indo-European,7.439953134153486,40.845342706502635
CAT_M2(Al),CAT,M,16.28,29,Catalan,Indo-European,7.248157248157248,39.79238329238329
CAT_M2(Al),CAT,M,19.15,29,Catalan,Indo-European,6.840731070496084,37.55561357702351
CAT_M2(Al),CAT,M,16.14,29,Catalan,Indo-European,7.24907063197026,39.79739776951673
CAT_M2(Al),CAT,M,16.42,29,Catalan,Indo-European,7.247259439707673,39.78745432399512
CAT_M2(Al),CAT,M,17.68,29,Catalan,Indo-European,7.183257918552036,39.436085972850684
CAT_M2(Al),CAT,M,13.37,29,Catalan,Indo-European,6.9558713537771135,38.18773373223635
CAT_M3(Da),CAT,M,12.6,31,Catalan,Indo-European,6.984126984126984,38.34285714285714
CAT_M3(Da),CAT,M,16.1,31,Catalan,Indo-European,7.32919254658385,40.23726708074534
CAT_M3(Da),CAT,M,19.43,31,Catalan,Indo-European,7.153885743695317,39.27483273288729
CAT_M3(Da),CAT,M,19.32,31,Catalan,Indo-European,7.349896480331263,40.350931677018636
CAT_M3(Da),CAT,M,12.92,31,Catalan,Indo-European,7.662538699690402,42.06733746130031
CAT_M3(Da),CAT,M,16.2,31,Catalan,Indo-European,8.08641975308642,44.394444444444446
CAT_M3(Da),CAT,M,10.51,31,Catalan,Indo-European,7.706945765937203,42.31113225499524
CAT_M3(Da),CAT,M,17.15,31,Catalan,Indo-European,7.113702623906706,39.054227405247815
CAT_M3(Da),CAT,M,17.7,31,Catalan,Indo-European,7.175141242937854,39.39152542372882
CAT_M3(Da),CAT,M,15.95,31,Catalan,Indo-European,7.398119122257054,40.61567398119123
CAT_M3(Da),CAT,M,18.51,31,Catalan,Indo-European,7.077255537547271,38.85413290113452
CAT_M3(Da),CAT,M,14.96,31,Catalan,Indo-European,7.8208556149732615,42.93649732620321
CAT_M3(Da),CAT,M,15.8,31,Catalan,Indo-European,7.5316455696202524,41.348734177215185
CAT_M3(Da),CAT,M,15.83,31,Catalan,Indo-European,8.022741629816803,44.04485154769425
CAT_M3(Da),CAT,M,11.83,31,Catalan,Indo-European,7.861369399830938,43.158918005071854
CAT_M4(Ma),CAT,M,14.76,44,Catalan,Indo-European,5.962059620596206,32.73170731707317
CAT_M4(Ma),CAT,M,19.01,44,Catalan,Indo-European,6.207259337190951,34.077853761178325
CAT_M4(Ma),CAT,M,21.16,44,Catalan,Indo-European,6.568998109640832,36.06379962192817
CAT_M4(Ma),CAT,M,21.32,44,Catalan,Indo-European,6.6604127579737336,36.5656660412758
CAT_M4(Ma),CAT,M,14.12,44,Catalan,Indo-European,7.0113314447592074,38.49220963172805
CAT_M4(Ma),CAT,M,17.95,44,Catalan,Indo-European,7.298050139275766,40.06629526462395
CAT_M4(Ma),CAT,M,11.16,44,Catalan,Indo-European,7.258064516129032,39.846774193548384
CAT_M4(Ma),CAT,M,17.82,44,Catalan,Indo-European,6.846240179573512,37.58585858585858
CAT_M4(Ma),CAT,M,17.9,44,Catalan,Indo-European,7.094972067039107,38.9513966480447
CAT_M4(Ma),CAT,M,16.33,44,Catalan,Indo-European,7.225964482547459,39.67054500918555
CAT_M4(Ma),CAT,M,18.44,44,Catalan,Indo-European,7.10412147505423,39.001626898047725
CAT_M4(Ma),CAT,M,16.7,44,Catalan,Indo-European,7.005988023952096,38.462874251497006
CAT_M4(Ma),CAT,M,18.38,44,Catalan,Indo-European,6.474428726877041,35.544613710554955
CAT_M4(Ma),CAT,M,19,44,Catalan,Indo-European,6.684210526315789,36.69631578947369
CAT_M4(Ma),CAT,M,13.66,44,Catalan,Indo-European,6.808199121522694,37.37701317715959
CAT_M5(Jo),CAT,M,13.48,42,Catalan,Indo-European,6.528189910979228,35.839762611275965
CAT_M5(Jo),CAT,M,16.67,42,Catalan,Indo-European,7.07858428314337,38.86142771445711
CAT_M5(Jo),CAT,M,20.8,42,Catalan,Indo-European,6.6826923076923075,36.68798076923077
CAT_M5(Jo),CAT,M,23.48,42,Catalan,Indo-European,6.047700170357751,33.201873935264054
CAT_M5(Jo),CAT,M,15.69,42,Catalan,Indo-European,6.309751434034417,34.64053537284895
CAT_M5(Jo),CAT,M,17.42,42,Catalan,Indo-European,7.520091848450057,41.285304247990815
CAT_M5(Jo),CAT,M,11.04,42,Catalan,Indo-European,7.336956521739131,40.27989130434783
CAT_M5(Jo),CAT,M,19.09,42,Catalan,Indo-European,6.390780513357779,35.08538501833421
CAT_M5(Jo),CAT,M,18.71,42,Catalan,Indo-European,6.787814003206841,37.26509887760556
CAT_M5(Jo),CAT,M,15.98,42,Catalan,Indo-European,7.3842302878598245,40.53942428035044
CAT_M5(Jo),CAT,M,20.06,42,Catalan,Indo-European,6.530408773678963,35.85194416749751
CAT_M5(Jo),CAT,M,19.68,42,Catalan,Indo-European,5.945121951219512,32.638719512195124
CAT_M5(Jo),CAT,M,17.72,42,Catalan,Indo-European,6.715575620767495,36.86851015801355
CAT_M5(Jo),CAT,M,18.19,42,Catalan,Indo-European,6.981858163826278,38.33040131940626
CAT_M5(Jo),CAT,M,14.64,42,Catalan,Indo-European,6.352459016393443,34.875
CMN_F1(Hu),CMN,F,10.62,19,Mandarin Chinese,Sino-Tibetan,5.649717514124294,39.32203389830509
CMN_F1(Hu),CMN,F,11.94,19,Mandarin Chinese,Sino-Tibetan,6.11390284757119,42.55276381909548
CMN_F1(Hu),CMN,F,12.21,19,Mandarin Chinese,Sino-Tibetan,5.978705978705978,41.61179361179361
CMN_F1(Hu),CMN,F,14.69,19,Mandarin Chinese,Sino-Tibetan,5.4458815520762425,37.903335602450646
CMN_F1(Hu),CMN,F,10.88,19,Mandarin Chinese,Sino-Tibetan,5.88235294117647,40.94117647058823
